titre,url,auteur,tag
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,https://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,change
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",https://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,abilities
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,https://quotes.toscrape.com/author/Albert-Einstein#2,Albert Einstein,inspirational
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",https://quotes.toscrape.com/author/Jane-Austen,Jane Austen,aliteracy
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",https://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,be-yourself
“Try not to become a man of success. Rather become a man of value.”,https://quotes.toscrape.com/author/Albert-Einstein#3,Albert Einstein,adulthood
“It is better to be hated for what you are than to be loved for what you are not.”,https://quotes.toscrape.com/author/Andre-Gide,André Gide,life
"“I have not failed. I've just found 10,000 ways that won't work.”",https://quotes.toscrape.com/author/Thomas-A-Edison,Thomas A. Edison,edison
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,https://quotes.toscrape.com/author/Eleanor-Roosevelt,Eleanor Roosevelt,misattributed-eleanor-roosevelt
"“A day without sunshine is like, you know, night.”",https://quotes.toscrape.com/author/Steve-Martin,Steve Martin,humor
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",https://quotes.toscrape.com/author/Marilyn-Monroe#2,Marilyn Monroe,friends
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",https://quotes.toscrape.com/author/J-K-Rowling#2,J.K. Rowling,courage
"“If you can't explain it to a six year old, you don't understand it yourself.”",https://quotes.toscrape.com/author/Albert-Einstein#4,Albert Einstein,simplicity
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",https://quotes.toscrape.com/author/Bob-Marley,Bob Marley,love
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",https://quotes.toscrape.com/author/Dr-Seuss,Dr. Seuss,fantasy
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",https://quotes.toscrape.com/author/Douglas-Adams,Douglas Adams,life
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",https://quotes.toscrape.com/author/Elie-Wiesel,Elie Wiesel,activism
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",https://quotes.toscrape.com/author/Friedrich-Nietzsche,Friedrich Nietzsche,friendship
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",https://quotes.toscrape.com/author/Mark-Twain,Mark Twain,books
“Life is what happens to us while we are making other plans.”,https://quotes.toscrape.com/author/Allen-Saunders,Allen Saunders,fate
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",https://quotes.toscrape.com/author/Pablo-Neruda,Pablo Neruda,love
“For every minute you are angry you lose sixty seconds of happiness.”,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson,Ralph Waldo Emerson,happiness
"“If you judge people, you have no time to love them.”",https://quotes.toscrape.com/author/Mother-Teresa,Mother Teresa,attributed-no-source
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,https://quotes.toscrape.com/author/Garrison-Keillor,Garrison Keillor,humor
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,https://quotes.toscrape.com/author/Jim-Henson,Jim Henson,humor
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",https://quotes.toscrape.com/author/Dr-Seuss#2,Dr. Seuss,comedy
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",https://quotes.toscrape.com/author/Albert-Einstein#5,Albert Einstein,children
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",https://quotes.toscrape.com/author/J-K-Rowling#3,J.K. Rowling,imagination
“Logic will get you from A to Z; imagination will get you everywhere.”,https://quotes.toscrape.com/author/Albert-Einstein#6,Albert Einstein,music
"“One good thing about music, when it hits you, you feel no pain.”",https://quotes.toscrape.com/author/Bob-Marley#2,Bob Marley,
